Name,District,Municipality,Township,Line
Porto Campanhã,PORTO,PORTO,Porto,Linha do Norte
Lisboa Oriente,LISBOA,LISBOA,Parque das Nações,Linha do Norte
Pombal,LEIRIA,POMBAL,Pombal,Linha do Norte
Vila Nova de Gaia-Devesas,PORTO,VILA NOVA DE GAIA,Vila Nova de Gaia,Linha do Norte
Vila Nova da Raínha,LISBOA,AZAMBUJA,Vila Nova da Rainha,Linha do Norte
Estarreja,AVEIRO,ESTARREJA,Beduído e Veiros,Linha do Norte
Seiça-Ourém,SANTARÉM,OURÉM,Seiça,Linha do Norte
Fungalvaz Resguardo,SANTARÉM,TOMAR,Madalena e Beselga,Linha do Norte
Vila Franca de Xira,LISBOA,VILA FRANCA DE XIRA,Vila Franca de Xira,Linha do Norte
Vila Franca de Xira,LISBOA,VILA FRANCA DE XIRA,Vila Franca de Xira,Linha do Norte
São Pedro da Torre,VIANA DO CASTELO,VALENÇA,São Pedro da Torre,Linha do Minho
Darque,VIANA DO CASTELO,VIANA DO CASTELO,Darque,Linha do Minho
Carreço,VIANA DO CASTELO,VIANA DO CASTELO,Carreço,Linha do Minho
Afife,VIANA DO CASTELO,VIANA DO CASTELO,Afife,Linha do Minho
Senhora das Neves,VIANA DO CASTELO,VIANA DO CASTELO,Vila de Punhe,Linha do Minho
Suzão,PORTO,VALONGO,Valongo,Linha do Douro
Vesúvio,GUARDA,VILA NOVA DE FOZ CÔA,Numão,Linha do Douro
Oleiros,PORTO,PENAFIEL,Guilhufe e Urrô,Linha do Douro
Juncal,PORTO,MARCO DE CANAVESES,Paredes de Viadores e Manhuncelos,Linha do Douro
São Martinho do Campo,PORTO,VALONGO,Campo e Sobrado,Linha do Douro
Vargelas,VISEU,SÃO JOÃO DA PESQUEIRA,Vale de Figueira,Linha do Douro
